timestamp,src_ip,src_port,dst_ip,dst_port,protocol,length,hdr_ip_len,hdr_tcp_len,ack_flag,init_window
2025-05-15 13:12:53.189319,192.168.10.201,52713,45.60.63.78,443,6,498,20,32,1,2048
2025-05-15 13:12:53.189336,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2029
2025-05-15 13:12:53.189880,192.168.10.201,52713,45.60.63.78,443,6,101,20,32,1,2048
2025-05-15 13:12:53.203213,45.60.63.78,443,192.168.10.201,52713,6,66,20,32,1,495
2025-05-15 13:12:53.223116,45.60.63.78,443,192.168.10.201,52713,6,1514,20,32,1,501
2025-05-15 13:12:53.223116,45.60.63.78,443,192.168.10.201,52713,6,92,20,32,1,501
2025-05-15 13:12:53.223117,45.60.63.78,443,192.168.10.201,52713,6,95,20,32,1,501
2025-05-15 13:12:53.223171,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2024
2025-05-15 13:12:53.293604,192.168.10.201,52713,45.60.63.78,443,6,238,20,32,1,2048
2025-05-15 13:12:53.327237,45.60.63.78,443,192.168.10.201,52713,6,817,20,32,1,501
2025-05-15 13:12:53.327301,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2036
2025-05-15 13:12:55.205851,192.168.10.201,52720,3.166.96.65,443,6,54,20,20,1,2048
2025-05-15 13:12:55.205924,192.168.10.201,52710,23.219.157.143,443,6,54,20,20,1,2048
2025-05-15 13:12:55.226241,23.219.157.143,443,192.168.10.201,52710,6,66,20,32,1,501
2025-05-15 13:12:55.226243,3.166.96.65,443,192.168.10.201,52720,6,66,20,32,1,145
2025-05-15 13:12:56.549738,192.168.10.201,52727,52.1.13.97,443,6,78,20,44,0,65535
2025-05-15 13:12:56.588928,52.1.13.97,443,192.168.10.201,52727,6,74,20,40,1,26847
2025-05-15 13:12:56.589058,192.168.10.201,52727,52.1.13.97,443,6,66,20,32,1,131712
2025-05-15 13:12:56.590131,192.168.10.201,52727,52.1.13.97,443,6,1514,20,32,1,131712
2025-05-15 13:12:56.590189,192.168.10.201,52727,52.1.13.97,443,6,530,20,32,1,131712
2025-05-15 13:12:56.628809,52.1.13.97,443,192.168.10.201,52727,6,66,20,32,1,29952
2025-05-15 13:12:56.630876,52.1.13.97,443,192.168.10.201,52727,6,1467,20,32,1,32768
2025-05-15 13:12:56.630919,192.168.10.201,52727,52.1.13.97,443,6,78,20,44,1,131712
2025-05-15 13:12:56.632690,52.1.13.97,443,192.168.10.201,52727,6,66,20,32,1,32768
2025-05-15 13:12:56.632690,52.1.13.97,443,192.168.10.201,52727,6,1514,20,32,1,32768
2025-05-15 13:12:56.632691,52.1.13.97,443,192.168.10.201,52727,6,1514,20,32,1,32768
2025-05-15 13:12:56.632728,192.168.10.201,52727,52.1.13.97,443,6,66,20,32,1,127424
2025-05-15 13:12:56.632789,192.168.10.201,52727,52.1.13.97,443,6,66,20,32,1,131072
2025-05-15 13:12:56.634196,192.168.10.201,52727,52.1.13.97,443,6,192,20,32,1,131072
2025-05-15 13:12:56.634354,192.168.10.201,52727,52.1.13.97,443,6,165,20,32,1,131072
2025-05-15 13:12:56.634481,192.168.10.201,52727,52.1.13.97,443,6,432,20,32,1,131072
2025-05-15 13:12:56.634505,192.168.10.201,52727,52.1.13.97,443,6,1292,20,32,1,131072
2025-05-15 13:12:56.677415,52.1.13.97,443,192.168.10.201,52727,6,66,20,32,1,32768
2025-05-15 13:12:56.677415,52.1.13.97,443,192.168.10.201,52727,6,66,20,32,1,38656
2025-05-15 13:12:56.677416,52.1.13.97,443,192.168.10.201,52727,6,270,20,32,1,38656
2025-05-15 13:12:56.677416,52.1.13.97,443,192.168.10.201,52727,6,144,20,32,1,38656
2025-05-15 13:12:56.677492,192.168.10.201,52727,52.1.13.97,443,6,66,20,32,1,130752
2025-05-15 13:12:56.677703,192.168.10.201,52727,52.1.13.97,443,6,104,20,32,1,131072
2025-05-15 13:12:56.711018,52.1.13.97,443,192.168.10.201,52727,6,438,20,32,1,38656
2025-05-15 13:12:56.711117,192.168.10.201,52727,52.1.13.97,443,6,66,20,32,1,130688
2025-05-15 13:12:56.747390,52.1.13.97,443,192.168.10.201,52727,6,66,20,32,1,38656
2025-05-15 13:13:00.666011,20.42.72.131,443,192.168.10.201,57118,6,56,20,20,1,0
2025-05-15 13:13:07.547042,192.168.10.201,52723,3.233.158.24,443,6,54,20,20,1,2048
2025-05-15 13:13:07.591122,3.233.158.24,443,192.168.10.201,52723,6,66,20,32,1,77
2025-05-15 13:13:08.259534,192.168.10.201,52713,45.60.63.78,443,6,231,20,32,1,2048
2025-05-15 13:13:08.259581,192.168.10.201,52713,45.60.63.78,443,6,105,20,32,1,2048
2025-05-15 13:13:08.283248,45.60.63.78,443,192.168.10.201,52713,6,66,20,32,1,501
2025-05-15 13:13:08.283249,45.60.63.78,443,192.168.10.201,52713,6,105,20,32,1,501
2025-05-15 13:13:08.283318,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2047
2025-05-15 13:13:08.291669,192.168.10.201,52713,45.60.63.78,443,6,1514,20,32,1,2048
2025-05-15 13:13:08.291707,192.168.10.201,52713,45.60.63.78,443,6,498,20,32,1,2048
2025-05-15 13:13:08.299978,45.60.63.78,443,192.168.10.201,52713,6,1227,20,32,1,501
2025-05-15 13:13:08.300077,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2029
2025-05-15 13:13:08.301298,192.168.10.201,52713,45.60.63.78,443,6,101,20,32,1,2048
2025-05-15 13:13:08.305435,45.60.63.78,443,192.168.10.201,52713,6,66,20,32,1,501
2025-05-15 13:13:08.327695,45.60.63.78,443,192.168.10.201,52713,6,1514,20,32,1,501
2025-05-15 13:13:08.327696,45.60.63.78,443,192.168.10.201,52713,6,75,20,32,1,501
2025-05-15 13:13:08.327746,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2025
2025-05-15 13:13:08.376597,192.168.10.201,52713,45.60.63.78,443,6,238,20,32,1,2048
2025-05-15 13:13:08.417820,45.60.63.78,443,192.168.10.201,52713,6,818,20,32,1,501
2025-05-15 13:13:08.417884,192.168.10.201,52713,45.60.63.78,443,6,66,20,32,1,2036
2025-05-15 13:13:09.863369,192.168.10.201,52717,172.64.155.209,443,6,54,20,20,1,2048
2025-05-15 13:13:09.882734,172.64.155.209,443,192.168.10.201,52717,6,66,20,32,1,10
2025-05-15 13:13:10.701193,40.99.245.50,443,192.168.10.201,52547,6,114,20,32,1,16381
2025-05-15 13:13:10.701313,192.168.10.201,52547,40.99.245.50,443,6,66,20,32,1,6911
2025-05-15 13:13:10.703116,192.168.10.201,52547,40.99.245.50,443,6,108,20,32,1,6912
2025-05-15 13:13:10.703247,192.168.10.201,52547,40.99.245.50,443,6,108,20,32,1,6912
2025-05-15 13:13:10.725438,40.99.245.50,443,192.168.10.201,52547,6,66,20,32,1,16381
2025-05-15 13:13:14.590041,52.111.227.57,443,192.168.10.201,52718,6,56,20,20,1,0
2025-05-15 13:13:16.452921,192.168.10.201,52728,52.96.103.34,443,6,78,20,44,0,65535
2025-05-15 13:13:16.453332,192.168.10.201,52729,20.42.72.131,443,6,78,20,44,0,65535
2025-05-15 13:13:16.477138,52.96.103.34,443,192.168.10.201,52728,6,74,20,40,1,65535
2025-05-15 13:13:16.477267,192.168.10.201,52728,52.96.103.34,443,6,66,20,32,1,131712
2025-05-15 13:13:16.478261,192.168.10.201,52728,52.96.103.34,443,6,1514,20,32,1,131712
2025-05-15 13:13:16.478301,192.168.10.201,52728,52.96.103.34,443,6,673,20,32,1,131712
2025-05-15 13:13:16.494363,20.42.72.131,443,192.168.10.201,52729,6,74,20,40,1,65535
2025-05-15 13:13:16.494491,192.168.10.201,52729,20.42.72.131,443,6,66,20,32,1,131328
2025-05-15 13:13:16.495458,192.168.10.201,52729,20.42.72.131,443,6,1494,20,32,1,131328
2025-05-15 13:13:16.495498,192.168.10.201,52729,20.42.72.131,443,6,476,20,32,1,131328
